step,tag,value
15,train/loss,0.5034735202789307
15,train/loss,0.5105860233306885
15,train/loss,0.5082721710205078
15,train/loss,0.48312142491340637
15,train/loss,0.4770127534866333
16,train/loss,0.49989965558052063
16,train/loss,0.4899473190307617
16,train/loss,0.4604601562023163
16,train/loss,0.4945242702960968
16,train/loss,0.48486196994781494
17,train/loss,0.4606940448284149
17,train/loss,0.46633604168891907
17,train/loss,0.46334028244018555
17,train/loss,0.43395504355430603
17,train/loss,0.4955492317676544
18,train/loss,0.4423285722732544
18,train/loss,0.482939213514328
18,train/loss,0.46900156140327454
18,train/loss,0.4559265077114105
18,train/loss,0.47869032621383667
19,train/loss,0.4226643443107605
19,train/loss,0.4317183196544647
19,train/loss,0.4914953112602234
19,train/loss,0.48340970277786255
19,train/loss,0.435863196849823
